"X","Y","color"
"0.4247031249016199","0.47377704427967376","[1.0]","[0.0]"
"0.4481265639049468","0.44827915729480095","[1.0]","[0.0]"
"0.4028463303203172","0.38114602258566654","[0.0]","[0.0]"
"0.7020834017446659","0.3099454068767598","[1.0]","[1.0]"
"0.6305813278211153","0.2793911227265312","[1.0]","[0.0]"
"0.2300236104480594","0.45068695229716393","[0.0]","[0.0]"
"0.4383753748337828","0.464616316255831","[1.0]","[1.0]"
"0.5450852909581805","0.27882375950963606","[0.0]","[1.0]"
"0.19856422467057275","0.19162344096543305","[0.0]","[0.0]"
"0.23067152487476267","0.35497427854448027","[0.0]","[0.0]"
"0.4782048907898101","0.4937455112502312","[1.0]","[0.0]"
"0.2439529624375898","0.6514359792079296","[1.0]","[1.0]"
"0.7304435694337585","0.7673253773519186","[1.0]","[1.0]"
"0.38638889584299846","0.6978935871102439","[1.0]","[0.0]"
"0.49420164856150994","0.4594965958564706","[1.0]","[1.0]"
"0.4883860830704211","0.4406981857434662","[1.0]","[1.0]"
"0.5495491144184254","0.23863576474512874","[0.0]","[0.0]"
"0.49184715092258097","0.6256939595080163","[1.0]","[1.0]"
"0.25435211946856034","0.6238326308227528","[1.0]","[1.0]"
"0.7970731147224512","0.42340664516586085","[1.0]","[1.0]"
"0.5901094947018832","0.5409455960044778","[1.0]","[1.0]"
"0.37214592729091767","0.8726371828036682","[1.0]","[0.0]"
"0.2229338259036413","0.6007225769649881","[1.0]","[0.0]"
"0.5573370161049825","0.8210272565218818","[1.0]","[1.0]"
"0.41470736582393253","0.58081145458246","[1.0]","[1.0]"
"0.35932198810915306","0.5517367852641687","[1.0]","[0.0]"
"0.4358467029566304","0.7143618705361376","[1.0]","[0.0]"
"0.5121061979887351","0.5974305775749933","[1.0]","[1.0]"
"0.45465376275571834","0.46409533515048407","[1.0]","[0.0]"
"0.5300272884730569","0.5876113451537659","[1.0]","[1.0]"
"0.4714406757314024","0.5835951825611319","[1.0]","[0.0]"
"0.48809292708813046","0.5883334810559041","[1.0]","[1.0]"
"0.58708412751668","0.3964835620604805","[1.0]","[0.0]"
"0.8768994973694206","0.6264678036036462","[1.0]","[1.0]"
"0.49193696957422856","0.4887187483604755","[1.0]","[0.0]"
"0.45146227553108165","0.3614855514310674","[0.0]","[0.0]"
"0.4873867248605493","0.32963789493641715","[0.0]","[0.0]"
"0.5184893860486911","0.5630296440154373","[1.0]","[0.0]"
"0.5926089029300158","0.555048823895074","[1.0]","[1.0]"
"0.4525223470452727","0.4744054025058706","[1.0]","[0.0]"
"0.46387223488016505","0.4956624261145548","[1.0]","[1.0]"
"0.6366220496588048","0.6467601888642154","[1.0]","[1.0]"
"0.5607479374219881","0.6062004015919727","[1.0]","[1.0]"
"0.4072506252648409","0.49448446917744154","[1.0]","[0.0]"
"0.46687845328925076","0.19000045262045231","[0.0]","[0.0]"
"0.299048834034338","0.3504894968747904","[0.0]","[0.0]"
"0.42657316444608867","0.5700425572234866","[1.0]","[0.0]"
"0.5238364462268309","0.35759826776240466","[1.0]","[0.0]"
"0.4198168900497325","0.4690077502312878","[1.0]","[0.0]"
"0.7133728330559194","0.7206327808349912","[1.0]","[1.0]"
"0.4645423283477218","0.46033261267297115","[1.0]","[1.0]"
"0.39918808868826733","0.4049106859082688","[0.0]","[0.0]"
"0.28724150791192177","0.32401350373386156","[0.0]","[0.0]"
"0.36848377021247475","0.712900538223739","[1.0]","[1.0]"
"0.44656760514140087","0.5717768096961924","[1.0]","[0.0]"
"0.6480803021253907","0.4332138883866864","[1.0]","[1.0]"
"0.4446867122792728","0.623233940715352","[1.0]","[1.0]"
"0.4671797893945524","0.49626622523062597","[1.0]","[0.0]"
"0.5342636085691406","0.4674024507963307","[1.0]","[1.0]"
"0.44195653585174965","0.7688614659976097","[1.0]","[1.0]"
"0.3836504997472996","0.6782743085550424","[1.0]","[0.0]"
"0.5211744664207663","0.2934660279744973","[0.0]","[0.0]"
"0.6704988637145327","0.6211134414149796","[1.0]","[1.0]"
"0.7984368400229517","0.38145357585685075","[1.0]","[1.0]"
"0.37781492948974627","0.582118626456031","[1.0]","[1.0]"
"0.3143051646658907","0.18914528390344862","[0.0]","[0.0]"
"0.6396983583295027","0.12957868390289937","[0.0]","[1.0]"
"0.5092052661372556","0.5520300943141379","[1.0]","[1.0]"
"0.3282323529562726","0.3993969736701439","[0.0]","[0.0]"
"0.37932157204571815","0.6934098458366487","[1.0]","[1.0]"
"0.3156191207548007","0.5448939232705471","[1.0]","[0.0]"
"0.6297269189161947","0.517569779475437","[1.0]","[0.0]"
"0.2626307665132878","0.36746289730643766","[0.0]","[0.0]"
"0.40336335707027066","0.6390188457391678","[1.0]","[1.0]"
"0.5788463055885725","0.4202707355542574","[1.0]","[0.0]"
"0.5132319685885883","0.504107997198176","[1.0]","[1.0]"
"0.6082899263608817","0.6016616194053708","[1.0]","[1.0]"
"0.5055492887413403","0.3267464643876227","[1.0]","[0.0]"
"0.5175247437473571","0.5313399591030254","[1.0]","[0.0]"
"0.48292684517362333","0.5752915877899583","[1.0]","[0.0]"
