"X","Y","color"
"0.8589439314554038","0.8403172421636088","3"
"0.704173047084542","0.8971051937437642","3"
"0.10744986818731446","0.04567795342949656","3"
"0.5344945315022528","0.6810973895565579","3"
"0.6702364127028956","0.7300338885855664","3"
"0.7185481680758489","0.7582238661772277","3"
"0.5020856784682534","0.7230939857219965","3"
"0.3807606261648519","0.292482268122397","3"
"0.012338584603780648","0.12491600701878129","3"
"0.7684638192727703","0.8667559871799468","3"
"0.06540026920250709","0.14455551078610254","3"
"0.22631384784608372","0.07948431696441703","3"
"0.5456689412269895","0.7994716081022727","3"
"0.5702929808466168","0.72991329692333","3"
"0.2919754418088004","0.14634331640488862","3"
"0.8122544578400491","0.893199349300419","3"
"0.756151747632322","0.8050261026814144","3"
"0.6175051769258352","0.7543549794259234","3"
"0.6535110839222438","0.7352900864441251","3"
"0.6784443382315425","0.8435814132776663","3"
"0.25100605951312555","0.19191819538088886","3"
"0.758007656215263","0.8897470089653182","3"
"0.7473926103184597","0.8008918153695698","3"
"0.7602574572087787","0.7763133894601578","3"
"0.26987298787130787","0.21017721333700148","3"
"0.6720132542908231","0.7803652301606103","3"
"0.3573390200936092","0.3164638029467095","3"
"0.7618231949480307","0.7792523369970059","3"
"0.9064582966446842","0.7786155640748358","3"
"0.6000903480550352","0.806273253748003","3"
"0.17964460594436335","0.11851003889150483","3"
"0.10523454743500436","0.08923210611100134","3"
"0.8978487304147769","0.9031883546492859","3"
"0.8356196350707583","0.7700360721985102","3"
"0.19787416033995464","0.1425124308734622","3"
"0.3948946211855519","0.20853194605033457","3"
"0.8314591290617211","0.850011652030848","3"
"0.4929000397000114","0.6818054349502763","3"
"0.04082270861704569","0.15107549947478865","3"
"0.7241940004315766","0.8530019955349175","3"
"0.6799925906871606","0.742788535073089","3"
"0.2336614555235959","0.12068972744029748","3"
"0.6825701703085899","0.8906209745562763","3"
"0.7141478136265167","0.8272543207833419","3"
"0.34751694114202564","0.151285605412464","3"
"0.5722358914791661","0.7688818476455904","3"
"0.5580271995335467","0.8216635758795027","3"
"0.2605628689784105","0.19481733833372944","3"
"0.4718920051075166","0.2208078772848363","3"
"0.2494896292909624","0.19199686252640777","3"
