0 1
2 3
0 1
4 5
6 5
6 5
6 5
7 8
9 9
10 11
6 5
2 6
0 1
2 3
9 12
9 9
4 12
7 8
9 9
7 8
2 3
6 5
6 5
6 5
7 8
9 12
2 6
7 8
9 9
4 12
7 8
2 6
6 8
6 8
6 8
6 6
0 1
10 11
0 1
2 3
7 8
2 6
6 8
10 11
13 9
0 1
9 9
2 6
2 3
9 9
9 9
10 11
2 6
9 9
2 3
2 3
9 9
10 11
4 12
4 5
6 5
7 8
2 6
2 3
10 11
13 12
4 12
6 5
10 11
4 12
7 8
0 1
0 1
7 8
2 6
0 1
0 1
4 12
6 5
2 3
4 12
2 3
6 5
9 12
6 8
9 9
6 5
2 3
4 12
7 8
6 8
2 3
6 5
13 12
6 5
9 9
2 6
9 9
2 3
2 3
2 6
13 9
9 12
10 11
2 3
6 8
10 11
10 11
0 1
0 1
4 12
0 1
10 11
9 9
7 8
4 12
6 5
2 3
2 3
2 3
10 11
4 12
9 9
10 11
2 3
2 3
7 8
6 6
9 9
10 11
4 12
6 8
6 6
2 6
9 9
6 5
6 6
2 3
4 12
10 11
0 1
2 3
0 1
4 12
6 8
4 12
7 8
2 3
10 11
2 6
2 3
13 12
6 5
9 12
10 11
2 3
2 3
10 11
2 3
2 3
12 12
2 3
6 5
7 8
6 8
0 1
9 9
9 9
2 1
10 11
4 12
6 5
4 12
10 11
7 8
9 9
10 11
9 9
6 5
7 8
6 5
0 1
6 8
12 12
6 8
6 5
6 6
9 9
10 11
10 11
2 3
2 3
6 8
2 6
4 12
0 1
2 3
0 1
9 9
0 1
