0 1
2 1
3 4
3 5
2 1
6 7
3 8
9 10
0 2
0 2
2 10
2 2
11 11
2 5
6 7
7 5
2 10
3 7
3 7
7 8
6 7
2 1
7 8
3 5
6 7
2 7
9 10
3 4
7 7
3 4
7 8
7 5
6 8
9 10
0 1
3 8
2 2
9 10
6 8
11 11
11 11
0 10
1 4
2 1
2 2
2 2
6 5
6 7
3 4
11 11
6 7
2 2
9 10
7 8
11 11
6 8
3 11
2 2
3 5
6 7
2 2
3 4
6 8
3 5
3 4
2 2
3 8
6 7
9 10
9 10
6 7
11 11
3 8
3 4
2 1
3 4
6 8
11 11
11 11
3 5
11 11
3 5
6 8
2 1
6 7
3 4
7 8
3 4
3 8
3 5
9 1
2 10
12 10
3 5
9 10
9 10
3 4
9 10
6 7
3 4
3 8
9 10
9 10
6 8
7 8
2 10
6 7
6 7
11 11
11 11
11 11
7 8
2 1
11 11
9 10
6 7
2 1
9 10
11 11
9 10
1 4
9 10
9 10
11 11
3 4
3 4
6 8
6 7
11 11
2 1
3 5
3 1
9 10
0 1
6 7
2 1
3 5
6 7
6 7
2 2
6 7
11 11
3 7
2 2
11 11
2 10
11 11
2 8
0 10
3 5
0 1
2 2
0 1
3 4
3 5
11 11
3 5
11 11
6 7
11 11
3 8
6 7
0 1
2 10
6 8
11 11
9 10
3 5
1 10
2 2
3 8
9 10
6 7
9 10
3 5
11 11
9 10
3 4
2 10
0 1
3 4
3 5
6 8
9 10
11 11
3 5
3 4
11 11
6 7
3 5
6 7
9 1
11 11
11 11
0 1
0 1
3 4
2 1
11 11
0 2
